Simulation,Method,Time
0,Byron,5.133
0,Byron,5.306
0,Byron,5.142
0,Byron,5.13
0,Byron,5.304
0,Byron,5.128
0,Byron,5.141
0,Byron,5.132
0,Byron,5.129
0,Byron,5.303
0,Byron,5.128
0,Byron,5.128
0,Byron,5.125
0,Byron,5.126
0,Byron,5.134
0,Byron,5.123
0,Byron,5.125
0,Byron,5.315
0,Byron,5.145
0,Byron,5.138
0,Byron,5.314
0,Byron,5.136
0,Byron,5.309
0,Byron,5.139
0,Byron,5.133
0,Byron,5.133
0,Byron,5.136
0,Byron,5.133
0,Byron,5.146
0,Byron,5.137
0,Byron,5.137
0,Byron,5.134
0,Byron,5.131
0,Byron,5.133
0,Byron,5.133
0,Byron,5.133
0,Byron,5.133
0,Byron,5.133
0,Byron,5.133
0,Byron,5.314
0,Byron,5.13
0,Byron,5.143
0,Byron,5.129
0,Byron,5.127
0,Byron,5.129
0,Byron,5.128
0,Byron,5.334
0,Byron,5.137
0,Byron,5.303
0,Byron,5.127
0,Byron,5.146
0,Byron,5.124
0,Byron,5.125
0,Byron,5.126
0,Byron,5.126
0,Byron,5.124
0,Byron,5.132
0,Byron,5.125
0,Byron,5.125
0,Byron,5.304
0,Byron,5.126
0,Byron,5.331
0,Byron,5.32
0,Byron,5.129
0,Byron,5.132
0,Byron,5.139
0,Byron,5.307
0,Byron,5.132
0,Byron,5.129
0,Byron,5.133
0,Byron,5.14
0,Byron,5.314
0,Byron,5.307
0,Byron,5.13
0,Byron,5.323
0,Byron,5.154
0,Byron,5.129
0,Byron,5.13
0,Byron,5.131
0,Byron,5.131
0,Byron,5.137
0,Byron,5.13
0,Byron,5.149
0,Byron,5.137
0,Byron,5.13
0,Byron,5.322
0,Byron,5.299
0,Byron,5.314
0,Byron,5.141
0,Byron,5.304
0,Byron,5.127
0,Byron,5.305
0,Byron,5.124
0,Byron,5.317
0,Byron,5.135
0,Byron,5.311
0,Byron,5.135
0,Byron,5.14
0,Byron,5.136
0,Byron,5.135
1,Byron,5.392
1,Byron,5.309
1,Byron,5.131
1,Byron,5.317
1,Byron,5.152
1,Byron,5.127
1,Byron,5.129
1,Byron,5.14
1,Byron,5.126
1,Byron,5.125
1,Byron,5.126
1,Byron,5.128
1,Byron,5.306
1,Byron,5.123
1,Byron,5.125
1,Byron,5.124
1,Byron,5.334
1,Byron,5.135
1,Byron,5.156
1,Byron,5.135
1,Byron,5.136
1,Byron,5.319
1,Byron,5.309
1,Byron,5.134
1,Byron,5.134
1,Byron,5.136
1,Byron,5.304
1,Byron,5.132
1,Byron,5.128
1,Byron,5.152
1,Byron,5.319
1,Byron,5.129
1,Byron,5.127
1,Byron,5.126
1,Byron,5.126
1,Byron,5.132
1,Byron,5.13
1,Byron,5.302
1,Byron,5.131
1,Byron,5.131
1,Byron,5.128
1,Byron,5.127
1,Byron,5.307
1,Byron,5.143
1,Byron,5.3
1,Byron,5.125
1,Byron,5.125
1,Byron,5.138
1,Byron,5.125
1,Byron,5.122
1,Byron,5.125
1,Byron,5.316
1,Byron,5.136
1,Byron,5.135
1,Byron,5.136
1,Byron,5.137
1,Byron,5.31
1,Byron,5.134
1,Byron,5.135
1,Byron,5.135
1,Byron,5.151
1,Byron,5.133
1,Byron,5.133
1,Byron,5.133
1,Byron,5.152
1,Byron,5.134
1,Byron,5.134
1,Byron,5.302
1,Byron,5.162
1,Byron,5.124
1,Byron,5.128
1,Byron,5.304
1,Byron,5.138
1,Byron,5.125
1,Byron,5.126
1,Byron,5.125
1,Byron,5.127
1,Byron,5.127
1,Byron,5.13
1,Byron,5.301
1,Byron,5.123
1,Byron,5.126
1,Byron,5.309
1,Byron,5.133
1,Byron,5.133
1,Byron,5.133
1,Byron,5.132
1,Byron,5.304
1,Byron,5.128
1,Byron,5.127
1,Byron,5.303
1,Byron,5.129
1,Byron,5.304
1,Byron,5.13
1,Byron,5.13
1,Byron,5.305
1,Byron,5.126
1,Byron,5.126
1,Byron,5.137
1,Byron,5.126
2,Byron,5.126
2,Byron,5.126
2,Byron,5.129
2,Byron,5.312
2,Byron,5.136
2,Byron,5.133
2,Byron,5.134
2,Byron,5.134
2,Byron,5.145
2,Byron,5.136
2,Byron,5.316
2,Byron,5.138
2,Byron,5.136
2,Byron,5.135
2,Byron,5.135
2,Byron,5.136
2,Byron,5.312
2,Byron,5.133
2,Byron,5.135
2,Byron,5.136
2,Byron,5.134
2,Byron,5.134
2,Byron,5.134
2,Byron,5.135
2,Byron,5.316
2,Byron,5.128
2,Byron,5.138
2,Byron,5.307
2,Byron,5.126
2,Byron,5.304
2,Byron,5.125
2,Byron,5.126
2,Byron,5.306
2,Byron,5.314
2,Byron,5.136
2,Byron,5.136
2,Byron,5.316
2,Byron,5.311
2,Byron,5.305
2,Byron,5.127
2,Byron,5.127
2,Byron,5.316
2,Byron,5.161
2,Byron,5.131
2,Byron,5.133
2,Byron,5.133
2,Byron,5.132
2,Byron,5.305
2,Byron,5.132
2,Byron,5.133
2,Byron,5.312
2,Byron,5.132
2,Byron,5.147
2,Byron,5.127
2,Byron,5.127
2,Byron,5.141
2,Byron,5.128
2,Byron,5.129
2,Byron,5.128
2,Byron,5.311
2,Byron,5.154
2,Byron,5.129
2,Byron,5.129
2,Byron,5.313
2,Byron,5.388
2,Byron,5.146
2,Byron,5.326
2,Byron,5.306
2,Byron,5.126
2,Byron,5.125
2,Byron,5.307
2,Byron,5.131
2,Byron,5.132
2,Byron,5.131
2,Byron,5.133
2,Byron,5.137
2,Byron,5.319
2,Byron,5.139
2,Byron,5.308
2,Byron,5.16
2,Byron,5.131
2,Byron,5.308
2,Byron,5.126
2,Byron,5.127
2,Byron,5.126
2,Byron,5.128
2,Byron,5.306
2,Byron,5.304
2,Byron,5.127
2,Byron,5.31
2,Byron,5.135
2,Byron,5.324
2,Byron,5.324
2,Byron,5.138
2,Byron,5.303
2,Byron,5.13
2,Byron,5.127
2,Byron,5.128
2,Byron,5.139
2,Byron,5.311
3,Byron,5.127
3,Byron,5.154
3,Byron,5.308
3,Byron,5.306
3,Byron,5.128
3,Byron,5.127
3,Byron,5.13
3,Byron,5.146
3,Byron,5.132
3,Byron,5.303
3,Byron,5.149
3,Byron,5.125
3,Byron,5.313
3,Byron,5.133
3,Byron,5.132
3,Byron,5.131
3,Byron,5.158
3,Byron,5.134
3,Byron,5.31
3,Byron,5.145
3,Byron,5.135
3,Byron,5.307
3,Byron,5.321
3,Byron,5.304
3,Byron,5.128
3,Byron,5.308
3,Byron,5.13
3,Byron,5.127
3,Byron,5.306
3,Byron,5.128
3,Byron,5.314
3,Byron,5.137
3,Byron,5.314
3,Byron,5.135
3,Byron,5.135
3,Byron,5.136
3,Byron,5.308
3,Byron,5.133
3,Byron,5.133
3,Byron,5.306
3,Byron,5.129
3,Byron,5.13
3,Byron,5.128
3,Byron,5.129
3,Byron,5.308
3,Byron,5.154
3,Byron,5.132
3,Byron,5.31
3,Byron,5.127
3,Byron,5.395
3,Byron,5.128
3,Byron,5.302
3,Byron,5.129
3,Byron,5.408
3,Byron,5.128
3,Byron,5.127
3,Byron,5.304
3,Byron,5.131
3,Byron,5.303
3,Byron,5.127
3,Byron,5.309
3,Byron,5.134
3,Byron,5.134
3,Byron,5.303
3,Byron,5.154
3,Byron,5.128
3,Byron,5.127
3,Byron,5.147
3,Byron,5.127
3,Byron,5.306
3,Byron,5.129
3,Byron,5.31
3,Byron,5.131
3,Byron,5.156
3,Byron,5.133
3,Byron,5.307
3,Byron,5.127
3,Byron,5.128
3,Byron,5.3
3,Byron,5.125
3,Byron,5.309
3,Byron,5.148
3,Byron,5.518
3,Byron,5.641
3,Byron,5.312
3,Byron,5.138
3,Byron,5.135
3,Byron,5.147
3,Byron,5.161
3,Byron,5.134
3,Byron,5.135
3,Byron,5.304
3,Byron,5.129
3,Byron,5.5
3,Byron,5.307
3,Byron,5.31
3,Byron,5.135
3,Byron,5.131
3,Byron,5.301
3,Byron,5.127
4,Byron,5.125
4,Byron,5.302
4,Byron,5.305
4,Byron,5.13
4,Byron,5.132
4,Byron,5.131
4,Byron,5.132
4,Byron,5.135
4,Byron,5.311
4,Byron,5.306
4,Byron,5.124
4,Byron,5.125
4,Byron,5.124
4,Byron,5.126
4,Byron,5.126
4,Byron,5.308
4,Byron,5.129
4,Byron,5.132
4,Byron,5.128
4,Byron,5.128
4,Byron,5.128
4,Byron,5.303
4,Byron,5.128
4,Byron,5.131
4,Byron,5.129
4,Byron,5.321
4,Byron,5.303
4,Byron,5.143
4,Byron,5.125
4,Byron,5.124
4,Byron,5.153
4,Byron,5.125
4,Byron,5.316
4,Byron,5.136
4,Byron,5.136
4,Byron,5.31
4,Byron,5.135
4,Byron,5.143
4,Byron,5.3
4,Byron,5.305
4,Byron,5.142
4,Byron,5.13
4,Byron,5.129
4,Byron,5.13
4,Byron,5.167
4,Byron,5.127
4,Byron,5.126
4,Byron,5.136
4,Byron,5.307
4,Byron,5.127
4,Byron,5.13
4,Byron,5.132
4,Byron,5.166
4,Byron,5.127
4,Byron,5.156
4,Byron,5.132
4,Byron,5.301
4,Byron,5.314
4,Byron,5.328
4,Byron,5.306
4,Byron,5.127
4,Byron,5.128
4,Byron,5.127
4,Byron,5.127
4,Byron,5.128
4,Byron,5.311
4,Byron,5.128
4,Byron,5.129
4,Byron,5.126
4,Byron,5.306
4,Byron,5.128
4,Byron,5.306
4,Byron,5.315
4,Byron,5.317
4,Byron,5.136
4,Byron,5.137
4,Byron,5.138
4,Byron,5.166
4,Byron,5.14
4,Byron,5.14
4,Byron,5.318
4,Byron,5.134
4,Byron,5.134
4,Byron,5.137
4,Byron,5.306
4,Byron,5.128
4,Byron,5.128
4,Byron,5.129
4,Byron,5.127
4,Byron,5.129
4,Byron,5.304
4,Byron,5.134
4,Byron,5.129
4,Byron,5.129
4,Byron,5.129
4,Byron,5.127
4,Byron,5.151
4,Byron,5.127
4,Byron,5.303
4,Byron,5.126
0,darknet,19.982646
0,darknet,19.647185
0,darknet,19.566962
0,darknet,19.666297
0,darknet,19.694968
0,darknet,19.550426
0,darknet,20.397681
0,darknet,19.591467
0,darknet,19.732345
0,darknet,19.542270
0,darknet,19.574877
0,darknet,19.968139
0,darknet,19.655917
0,darknet,19.601861
0,darknet,19.538469
0,darknet,19.779074
0,darknet,19.531464
0,darknet,19.693811
0,darknet,19.650857
0,darknet,19.671235
0,darknet,19.637292
0,darknet,19.847003
0,darknet,19.508589
0,darknet,19.802969
0,darknet,19.634791
0,darknet,19.632639
0,darknet,19.488577
0,darknet,19.498268
0,darknet,19.556733
0,darknet,19.565436
0,darknet,19.643572
0,darknet,19.593529
0,darknet,19.504980
0,darknet,19.644939
0,darknet,19.516370
0,darknet,19.520478
0,darknet,19.554334
0,darknet,19.556165
0,darknet,19.511268
0,darknet,19.683637
0,darknet,19.544815
0,darknet,19.516926
0,darknet,19.667382
0,darknet,19.500541
0,darknet,19.524954
0,darknet,19.649103
0,darknet,19.660418
0,darknet,19.835005
0,darknet,19.638129
0,darknet,19.534395
0,darknet,19.547148
0,darknet,19.646420
0,darknet,19.699726
0,darknet,19.654383
0,darknet,19.502643
0,darknet,19.537360
0,darknet,19.510554
0,darknet,19.498068
0,darknet,19.518759
0,darknet,19.517111
0,darknet,19.516887
0,darknet,19.630051
0,darknet,19.484584
0,darknet,19.664905
0,darknet,19.508273
0,darknet,19.517345
0,darknet,19.506151
0,darknet,19.521296
0,darknet,19.505157
0,darknet,19.519205
0,darknet,19.519653
0,darknet,19.653567
0,darknet,19.971218
0,darknet,19.520233
0,darknet,19.525860
0,darknet,19.509397
0,darknet,19.532247
0,darknet,19.521758
0,darknet,19.695662
0,darknet,19.622725
0,darknet,19.630790
0,darknet,19.526170
0,darknet,19.519952
0,darknet,19.516412
0,darknet,19.528576
0,darknet,19.530998
0,darknet,19.535556
0,darknet,19.523871
0,darknet,19.527178
0,darknet,19.518360
0,darknet,19.511892
0,darknet,19.558735
0,darknet,19.634990
0,darknet,19.536777
0,darknet,19.667994
0,darknet,19.509607
0,darknet,19.517242
0,darknet,19.524253
0,darknet,19.531426
0,darknet,19.516407
1,darknet,19.532818
1,darknet,19.536351
1,darknet,19.804711
1,darknet,19.626418
1,darknet,19.614770
1,darknet,19.635993
1,darknet,19.661737
1,darknet,19.672144
1,darknet,19.516208
1,darknet,19.845303
1,darknet,19.844716
1,darknet,19.589389
1,darknet,19.534709
1,darknet,19.513054
1,darknet,19.759096
1,darknet,19.535628
1,darknet,19.612762
1,darknet,19.544925
1,darknet,19.540545
1,darknet,19.699903
1,darknet,19.541531
1,darknet,19.547022
1,darknet,19.527943
1,darknet,19.539780
1,darknet,19.648208
1,darknet,19.580661
1,darknet,19.679339
1,darknet,19.656864
1,darknet,19.615226
1,darknet,19.522330
1,darknet,19.535404
1,darknet,19.520025
1,darknet,19.552278
1,darknet,19.535012
1,darknet,19.631887
1,darknet,19.590734
1,darknet,19.623084
1,darknet,19.518385
1,darknet,19.522549
1,darknet,19.616034
1,darknet,19.521851
1,darknet,19.538853
1,darknet,19.688703
1,darknet,20.012278
1,darknet,19.651082
1,darknet,19.523801
1,darknet,19.535553
1,darknet,19.539043
1,darknet,19.530925
1,darknet,19.689692
1,darknet,19.529656
1,darknet,19.674363
1,darknet,19.682390
1,darknet,19.826424
1,darknet,19.836038
1,darknet,19.523028
1,darknet,19.711507
1,darknet,19.544495
1,darknet,19.759393
1,darknet,19.517399
1,darknet,19.570742
1,darknet,19.691829
1,darknet,19.559295
1,darknet,19.569129
1,darknet,19.612646
1,darknet,19.640683
1,darknet,19.516689
1,darknet,19.881503
1,darknet,19.658998
1,darknet,19.515655
1,darknet,19.654588
1,darknet,19.667524
1,darknet,19.515040
1,darknet,19.534118
1,darknet,19.559264
1,darknet,19.529825
1,darknet,19.541646
1,darknet,19.525516
1,darknet,19.535236
1,darknet,19.544210
1,darknet,19.839618
1,darknet,19.674862
1,darknet,19.532263
1,darknet,19.575293
1,darknet,19.512641
1,darknet,19.549983
1,darknet,19.567429
1,darknet,19.620222
1,darknet,19.544149
1,darknet,19.597540
1,darknet,19.532274
1,darknet,19.534973
1,darknet,19.531176
1,darknet,19.514178
1,darknet,19.672494
1,darknet,19.671020
1,darknet,19.532466
1,darknet,19.602277
1,darknet,19.522486
1,darknet,19.542321
2,darknet,19.563949
2,darknet,19.535188
2,darknet,19.528838
2,darknet,19.519584
2,darknet,19.746886
2,darknet,19.516624
2,darknet,19.525226
2,darknet,19.538022
2,darknet,19.539060
2,darknet,19.540196
2,darknet,19.525286
2,darknet,19.527313
2,darknet,19.566787
2,darknet,19.528445
2,darknet,19.532077
2,darknet,20.202627
2,darknet,19.532797
2,darknet,19.539083
2,darknet,19.521808
2,darknet,19.531270
2,darknet,19.538532
2,darknet,19.522538
2,darknet,19.523612
2,darknet,19.519680
2,darknet,19.525519
2,darknet,19.567905
2,darknet,19.528356
2,darknet,19.563401
2,darknet,19.550852
2,darknet,19.519652
2,darknet,19.539827
2,darknet,19.529150
2,darknet,19.516938
2,darknet,19.525190
2,darknet,19.535658
2,darknet,19.530740
2,darknet,19.532674
2,darknet,19.516658
2,darknet,19.516449
2,darknet,19.519779
2,darknet,19.612749
2,darknet,19.517182
2,darknet,19.519536
2,darknet,19.519127
2,darknet,19.518434
2,darknet,19.526852
2,darknet,19.526979
2,darknet,19.718639
2,darknet,19.528917
2,darknet,19.566449
2,darknet,19.517997
2,darknet,19.513069
2,darknet,19.516629
2,darknet,19.537547
2,darknet,19.543392
2,darknet,19.518384
2,darknet,19.529082
2,darknet,19.555047
2,darknet,19.750506
2,darknet,19.666361
2,darknet,19.583000
2,darknet,19.515802
2,darknet,19.666452
2,darknet,19.523506
2,darknet,19.517406
2,darknet,19.514234
2,darknet,19.562703
2,darknet,19.518488
2,darknet,19.525180
2,darknet,19.531849
2,darknet,19.516576
2,darknet,19.539863
2,darknet,19.514998
2,darknet,19.648291
2,darknet,19.535551
2,darknet,19.645908
2,darknet,19.607547
2,darknet,19.555905
2,darknet,19.530710
2,darknet,19.529138
2,darknet,19.509910
2,darknet,19.522408
2,darknet,19.534527
2,darknet,19.535095
2,darknet,19.517701
2,darknet,19.520802
2,darknet,19.524037
2,darknet,19.565737
2,darknet,19.540748
2,darknet,19.538902
2,darknet,19.546689
2,darknet,19.526163
2,darknet,19.525208
2,darknet,19.529854
2,darknet,19.534460
2,darknet,19.524470
2,darknet,19.536718
2,darknet,19.544629
2,darknet,19.556475
2,darknet,19.548100
3,darknet,19.531153
3,darknet,19.530902
3,darknet,19.520887
3,darknet,19.579112
3,darknet,19.561053
3,darknet,19.718847
3,darknet,19.727192
3,darknet,19.551896
3,darknet,19.673537
3,darknet,19.542228
3,darknet,19.513772
3,darknet,19.516242
3,darknet,19.512509
3,darknet,19.568086
3,darknet,19.677548
3,darknet,19.524676
3,darknet,19.583379
3,darknet,19.526165
3,darknet,19.535633
3,darknet,20.399232
3,darknet,19.530461
3,darknet,19.661657
3,darknet,19.518507
3,darknet,19.510428
3,darknet,19.658209
3,darknet,19.513024
3,darknet,19.516026
3,darknet,19.520268
3,darknet,19.788007
3,darknet,19.579824
3,darknet,19.702596
3,darknet,19.525149
3,darknet,19.527995
3,darknet,19.542439
3,darknet,19.542805
3,darknet,19.516817
3,darknet,19.513619
3,darknet,19.534724
3,darknet,19.511008
3,darknet,19.518104
3,darknet,19.910336
3,darknet,19.826045
3,darknet,19.654795
3,darknet,19.792114
3,darknet,19.798492
3,darknet,19.742406
3,darknet,19.714696
3,darknet,19.513402
3,darknet,19.517800
3,darknet,19.534856
3,darknet,19.524718
3,darknet,19.786164
3,darknet,19.654128
3,darknet,19.516510
3,darknet,19.534682
3,darknet,19.543995
3,darknet,19.534024
3,darknet,19.588458
3,darknet,19.716415
3,darknet,19.510447
3,darknet,19.973445
3,darknet,19.845186
3,darknet,19.523658
3,darknet,19.516424
3,darknet,19.641170
3,darknet,20.111144
3,darknet,20.041846
3,darknet,19.657902
3,darknet,19.677968
3,darknet,19.510695
3,darknet,19.537665
3,darknet,19.539311
3,darknet,19.513776
3,darknet,19.532822
3,darknet,19.681651
3,darknet,19.501103
3,darknet,19.670320
3,darknet,19.538297
3,darknet,19.515290
3,darknet,19.512911
3,darknet,19.574267
3,darknet,19.526765
3,darknet,19.672655
3,darknet,19.684928
3,darknet,19.653612
3,darknet,19.520068
3,darknet,19.513067
3,darknet,19.525814
3,darknet,19.522159
3,darknet,19.531370
3,darknet,19.514926
3,darknet,19.523062
3,darknet,19.542171
3,darknet,19.506325
3,darknet,19.521258
3,darknet,19.680312
3,darknet,19.653490
3,darknet,19.657711
3,darknet,19.521925
3,darknet,19.528349
4,darknet,19.517978
4,darknet,19.533894
4,darknet,19.522513
4,darknet,19.524417
4,darknet,19.515258
4,darknet,19.518136
4,darknet,19.518122
4,darknet,19.534553
4,darknet,19.522342
4,darknet,19.515437
4,darknet,19.518116
4,darknet,19.700903
4,darknet,19.514463
4,darknet,19.725178
4,darknet,19.653358
4,darknet,19.514005
4,darknet,19.527712
4,darknet,19.663672
4,darknet,19.520771
4,darknet,19.682816
4,darknet,19.511992
4,darknet,19.523778
4,darknet,19.529184
4,darknet,20.172832
4,darknet,19.651607
4,darknet,19.633550
4,darknet,19.708184
4,darknet,19.586989
4,darknet,20.021488
4,darknet,19.642919
4,darknet,19.509815
4,darknet,19.519538
4,darknet,19.532830
4,darknet,19.528866
4,darknet,19.540555
4,darknet,19.519080
4,darknet,19.531166
4,darknet,19.511917
4,darknet,19.517505
4,darknet,19.511459
4,darknet,19.516387
4,darknet,19.672676
4,darknet,20.062147
4,darknet,19.519362
4,darknet,19.519744
4,darknet,19.518420
4,darknet,19.514472
4,darknet,19.520993
4,darknet,19.520761
4,darknet,19.603139
4,darknet,19.526769
4,darknet,19.516838
4,darknet,19.516831
